msa_name,msa_code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Lawrence, KS",29940,670.0,716.0,660.0,667.0,693.0,693.0,714.0,743.0,796.0,789.0,767.5,746.0
"Lawton, OK",30020,529.0,612.0,598.0,599.0,599.0,599.0,594.0,654.0,628.0,634.0,631.0,628.0
"Lebanon, PA",30140,559.0,585.0,587.0,620.0,632.0,629.0,644.0,673.0,760.0,746.0,751.5,757.0
"Lewiston, ID-WA",30300,515.0,513.0,550.0,549.0,592.0,616.0,592.0,571.0,648.0,677.0,718.0,759.0
"Lewiston-Auburn, ME",30340,594.0,609.0,625.0,626.0,621.0,659.0,657.0,625.0,713.0,734.0,773.0,812.0
"Lexington-Fayette, KY",30460,561.0,556.0,603.0,633.0,618.0,644.0,666.0,665.0,726.0,741.0,775.5,810.0
"Lima, OH",30620,457.0,448.0,491.0,500.0,479.0,510.0,487.0,508.0,538.0,513.0,556.5,600.0
"Lincoln, NE",30700,583.0,573.0,580.0,606.0,628.0,645.0,666.0,691.0,719.0,749.0,766.5,784.0
"Little Rock-North Little Rock-Conway, AR",30780,556.0,571.0,554.0,587.0,601.0,627.0,647.0,657.0,657.0,658.0,692.5,727.0
"Logan, UT-ID",30860,489.0,500.0,543.0,547.0,548.0,577.0,614.0,665.0,656.0,694.0,760.5,827.0
"Longview, TX",30980,547.0,583.0,581.0,592.0,613.0,625.0,640.0,676.0,673.0,681.0,705.5,730.0
